iter,l2_abs,l2_rel
19000,3.983320295811e-01,8.047111631174e-01
19200,3.981125950813e-01,8.042678611020e-01
19400,3.979240059853e-01,8.038868730328e-01
19600,3.978136777878e-01,8.036639877875e-01
19800,3.976947367191e-01,8.034237028026e-01
20000,3.975669145584e-01,8.031654762178e-01
20200,3.974299132824e-01,8.028887059659e-01
20400,3.972834050655e-01,8.025927297731e-01
20600,3.971272110939e-01,8.022771863991e-01
20800,3.969626426697e-01,8.019447249392e-01
21000,3.967988193035e-01,8.016137686471e-01
21200,3.966389298439e-01,8.012907596409e-01
21400,3.964821994305e-01,8.009741325461e-01
21600,3.963289260864e-01,8.006644894298e-01
21800,3.961778283119e-01,8.003592414035e-01
22000,3.960309624672e-01,8.000625427301e-01
22200,3.958875834942e-01,7.997728882420e-01
22400,3.957470059395e-01,7.994888931847e-01
22600,3.956094086170e-01,7.992109187986e-01
22800,3.954751789570e-01,7.989397477708e-01
23000,3.953434824944e-01,7.986736943135e-01
23200,3.952144980431e-01,7.984131196669e-01
23400,3.950893282890e-01,7.981602514794e-01
23600,3.949670493603e-01,7.979132233429e-01
23800,3.948470354080e-01,7.976707709164e-01
24000,3.947291374207e-01,7.974325931665e-01
24200,3.946131467819e-01,7.971982686460e-01
200,5.116532444954e-01,1.033642908213e+00
400,4.889647364616e-01,9.878075388897e-01
600,4.750310778618e-01,9.596587339087e-01
800,4.602052867413e-01,9.297076410245e-01
1000,4.516379833221e-01,9.123999575163e-01
1200,4.504372477531e-01,9.099742291175e-01
1400,4.500737488270e-01,9.092398878596e-01
1600,4.491257965565e-01,9.073248327861e-01
1800,4.473432302475e-01,9.037236887622e-01
2000,4.445016086102e-01,8.979830390451e-01
2200,4.419414401054e-01,8.928109815097e-01
2400,4.399862885475e-01,8.888611804206e-01
2600,4.378958046436e-01,8.846379806555e-01
2800,4.357801377773e-01,8.803639062193e-01
3000,4.337336122990e-01,8.762295113533e-01
3200,4.318033456802e-01,8.723299828682e-01
3400,4.303745627403e-01,8.694435527144e-01
3600,4.295284748077e-01,8.677342841802e-01
3800,4.286694228649e-01,8.659988257266e-01
4000,4.278095364571e-01,8.642616814850e-01
4200,4.269581437111e-01,8.625416961562e-01
4400,4.261245429516e-01,8.608576542340e-01
4600,4.253164529800e-01,8.592251492567e-01
4800,4.248298406601e-01,8.582420940744e-01
5000,4.244264960289e-01,8.574272564435e-01
5200,4.240083694458e-01,8.565825562837e-01
5400,4.235761165619e-01,8.557093181428e-01
5600,4.231301546097e-01,8.548083849147e-01
5800,4.226721525192e-01,8.538831281752e-01
6000,4.222042858601e-01,8.529379430143e-01
6200,4.219291210175e-01,8.523820544487e-01
6400,4.216791391373e-01,8.518770405542e-01
6600,4.214145541191e-01,8.513425253712e-01
6800,4.211364090443e-01,8.507806161345e-01
7000,4.208444654942e-01,8.501908311905e-01
7200,4.205378592014e-01,8.495714245445e-01
7400,4.202177822590e-01,8.489248044649e-01
7600,4.200216233730e-01,8.485285238911e-01
7800,4.198437035084e-01,8.481690898245e-01
8000,4.196529388428e-01,8.477837066654e-01
8200,4.194499254227e-01,8.473735785479e-01
8400,4.192337691784e-01,8.469368992708e-01
8600,4.190040528774e-01,8.464728259400e-01
8800,4.187611341476e-01,8.459820810360e-01
9000,4.185093343258e-01,8.454733945321e-01
9200,4.182911515236e-01,8.450326211986e-01
9400,4.181624650955e-01,8.447726486192e-01
9600,4.180238842964e-01,8.444926874116e-01
9800,4.178756773472e-01,8.441932794362e-01
10000,4.177170991898e-01,8.438729195253e-01
10200,4.175480306149e-01,8.435313668520e-01
10400,4.173676371574e-01,8.431669356284e-01
10600,4.171773791313e-01,8.427825759834e-01
10800,4.169836938381e-01,8.423912925666e-01
11000,4.167926609516e-01,8.420053675470e-01
11200,4.166049063206e-01,8.416260652657e-01
11400,4.164815247059e-01,8.413768094809e-01
11600,4.163827598095e-01,8.411772844396e-01
11800,4.162765145302e-01,8.409626475138e-01
12000,4.161626696587e-01,8.407326578766e-01
12200,4.160411357880e-01,8.404871349078e-01
12400,4.159121215343e-01,8.402265000545e-01
12600,4.157745838165e-01,8.399486460818e-01
12800,4.156306982040e-01,8.396579680796e-01
13000,4.154867231846e-01,8.393671094572e-01
13200,4.153452813625e-01,8.390813684053e-01
13400,4.152061343193e-01,8.388002632702e-01
13600,4.150696694851e-01,8.385245767391e-01
13800,4.149357676506e-01,8.382540679852e-01
14000,4.148049056530e-01,8.379897003158e-01
14200,4.146767258644e-01,8.377307512504e-01
14400,4.145509898663e-01,8.374767391354e-01
14600,4.144277274609e-01,8.372277241774e-01
14800,4.143072068691e-01,8.369842482368e-01
15000,4.141901433468e-01,8.367477562748e-01
15200,4.140893220901e-01,8.365440769704e-01
15400,4.140303730965e-01,8.364249880954e-01
15600,4.139671027660e-01,8.362971692473e-01
15800,4.138991236687e-01,8.361598377388e-01
16000,4.138267338276e-01,8.360135956370e-01
16200,4.137495160103e-01,8.358576000480e-01
16400,4.136677086353e-01,8.356923326255e-01
16600,4.135815203190e-01,8.355182148163e-01
16800,4.134939610958e-01,8.353413274985e-01
17000,4.134082794189e-01,8.351682332035e-01
17200,4.133244156837e-01,8.349988115178e-01
17400,4.132424890995e-01,8.348333032684e-01
17600,4.131621718407e-01,8.346710461814e-01
17800,4.130839109421e-01,8.345129433575e-01
18000,4.130072593689e-01,8.343580916960e-01
18200,4.129332304001e-01,8.342085382251e-01
18400,4.128609001637e-01,8.340624165368e-01
18600,4.127899110317e-01,8.339190041504e-01
18800,4.127205610275e-01,8.337789031332e-01
19000,4.126528799534e-01,8.336421736918e-01
19200,4.125867784023e-01,8.335086352061e-01
19400,4.125223159790e-01,8.333784080895e-01
19600,4.124595224857e-01,8.332515525488e-01
19800,4.123981297016e-01,8.331275267235e-01
20000,4.123383462429e-01,8.330067520606e-01
20200,4.123024642467e-01,8.329342631802e-01
20400,4.122700095177e-01,8.328686980715e-01
20600,4.122355878353e-01,8.327991593200e-01
200,2.423751950264e-01,4.896468539214e-01
400,4.754616320133e-01,9.605285402671e-01
600,5.313769578934e-01,1.073488793482e+00
800,5.803719758987e-01,1.172468626882e+00
1000,6.002601981163e-01,1.212646853197e+00
200,4.459071159363e-01,9.008224477574e-01
400,4.415439665318e-01,8.920080046009e-01
600,3.855541944504e-01,7.788973550213e-01
800,3.435533046722e-01,6.940470734587e-01
1000,3.373045623302e-01,6.814233516773e-01
1200,3.333320021629e-01,6.733979776793e-01
1400,3.240108489990e-01,6.545673654084e-01
50,4.457456171513e-01,9.004961875888e-01
100,3.759911060333e-01,7.595779846679e-01
200,5.009418725967e-01,1.012003773273e+00
500,1.106788039207e+00,2.235935411199e+00
1000,7.724770903587e-01,1.560559763466e+00
1500,6.593173742294e-01,1.331954278539e+00
2000,5.729305148125e-01,1.157435372308e+00
2500,5.265898108482e-01,1.063817789443e+00
3000,4.759363830090e-01,9.614876331783e-01
3500,4.428417086601e-01,8.946297058451e-01
4000,4.101609289646e-01,8.286079293185e-01
4500,3.737791180611e-01,7.551093221407e-01
5000,3.529500365257e-01,7.130303699495e-01
5500,3.287914693356e-01,6.642251841770e-01
6000,3.038644194603e-01,6.138675081465e-01
6500,2.880105972290e-01,5.818395847555e-01
7000,2.695257067680e-01,5.444963720629e-01
7500,2.486083507538e-01,5.022390875928e-01
8000,2.367047667503e-01,4.781914433731e-01
8500,2.229660302401e-01,4.504364203874e-01
9000,2.073250710964e-01,4.188385234320e-01
9500,1.909647285938e-01,3.857873267755e-01
10000,1.749634891748e-01,3.534615908870e-01
10500,1.642150431871e-01,3.317475587978e-01
11000,1.556488275528e-01,3.144420728346e-01
11500,1.462201029062e-01,2.953941444392e-01
12000,1.363968104124e-01,2.755491092893e-01
12500,1.270463317633e-01,2.566592536145e-01
13000,1.183919087052e-01,2.391755708374e-01
13500,1.134261861444e-01,2.291438081848e-01
14000,1.085998862982e-01,2.193937075794e-01
14500,1.031827405095e-01,2.084499788189e-01
15000,9.754665941000e-02,1.970639565053e-01
15500,9.224816411734e-02,1.863599257142e-01
16000,8.734288066626e-02,1.764502622721e-01
16500,8.294119685888e-02,1.675579718379e-01
17000,7.902563363314e-02,1.596477431752e-01
17500,7.556936144829e-02,1.526653751923e-01
18000,7.249744981527e-02,1.464594931652e-01
18500,6.979596614838e-02,1.410019504563e-01
19000,6.741479039192e-02,1.361914944290e-01
19500,6.606993824244e-02,1.334746214260e-01
20000,6.467501819134e-02,1.306566011479e-01
20500,6.302660703659e-02,1.273264776350e-01
21000,6.137648597360e-02,1.239928997621e-01
21500,5.988665670156e-02,1.209831436860e-01
22000,5.848683416843e-02,1.181552194039e-01
22500,5.722318962216e-02,1.156024021633e-01
23000,5.604246258736e-02,1.132170950452e-01
23500,5.495619773865e-02,1.110226206245e-01
