iter,l2_rel_u,l2_rel_v,l2_rel_p,l2_rel_all
500,1.022759646860e-02,3.689181448183e-02,2.538308204489e-02,1.213847391199e-02
500,1.022759646860e-02,3.689181448183e-02,2.538308204489e-02,1.213847391199e-02
1000,5.099268912902e-03,2.215151250151e-02,1.958752239203e-02,7.271232871952e-03
1500,3.846945374050e-03,1.262601099494e-01,1.552780140555e-02,9.676896781701e-03
